dataset/demostracion,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-geo3xuav/export.nq.gz
dataset/john-peel-sessions,BBC Backstage License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-gfnu4oke/export.nq.gz
dataset/farmers-market,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-gt1vl8ws/export.nq.gz
dataset/musicnet,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-h0dkh3we/export.nq.gz
dataset/yokohama-city-budget-plan-fy2012,Creative Commons Attribution (CC-BY),https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-h35f9uai/export.nq.gz
dataset/nra,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-hg42acnd/export.nq.gz
dataset/world-air-travel,Creative Commons Attribution-ShareAlike 3.0 Unported (CC-BY-SA 3.0),https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-hgwas73c/export.nq.gz
dataset/uk-education-geographic-qrcodes,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-hhcbgu2t/export.nq.gz
dataset/philippines-festival-0,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-honj014m/export.nq.gz
dataset/oxpoints,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-hrzdupip/export.nq.gz
dataset/digital-city-brighton,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-ipmpkwao/export.nq.gz
dataset/ordnance-survey-postcode-renewable-energy-generators-linkset,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-iyipcz0p/export.nq.gz
dataset/world-geography,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-jkib76pb/export.nq.gz
dataset/colegios-de-chile,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-k721d9t1/export.nq.gz
dataset/bryans-training-data,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-kffgtr3r/export.nq.gz
dataset/ejemplo,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-kgs3lzvu/export.nq.gz
dataset/educacion,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-ksct0anc/export.nq.gz
dataset/scottish-national-parks-and-postcode-areas,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-ktvuh6jt/export.nq.gz
dataset/italian-schools,Creative Commons Attribution-ShareAlike 3.0 Unported (CC-BY-SA 3.0),https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-lvd89pyh/export.nq.gz
dataset/food,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-lwz1blpu/export.nq.gz
dataset/rendimiento-escolar-chile,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-m20igs19/export.nq.gz
dataset/education-ordnance-survey-postcode-linkset,Open Government License for Public Sector Information,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-md9cazfd/export.nq.gz
dataset/plos-one,Creative Commons Attribution (CC-BY),https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-mndjsuky/export.nq.gz
dataset/testdataset,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-mq3vg8dm/export.nq.gz
dataset/nasa,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-mzqcnhn4/export.nq.gz
dataset/countries,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-n2ylz0ff/export.nq.gz
dataset/english-heritage,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-nbom7e49/export.nq.gz
dataset/sanskrit-english-lexicon,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-ncfjg7de/export.nq.gz
dataset/safecast-0,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-ndtcnp54/export.nq.gz
dataset/skills,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-npc1qp7i/export.nq.gz
dataset/study,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-nvlpw0sz/export.nq.gz
dataset/monumentos,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-nzrg82xo/export.nq.gz
dataset/test-2,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-o483gpz2/export.nq.gz
dataset/beyond-book,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-o56rr5xb/export.nq.gz
dataset/dbpedia-links,Creative Commons Attribution-ShareAlike 3.0 Unported (CC-BY-SA 3.0),https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-o7goimcu/export.nq.gz
dataset/genealogy-information,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-o7pjkl0i/export.nq.gz
dataset/languages,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-oymxs5yt/export.nq.gz
dataset/test1,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-p08xrnw7/export.nq.gz
dataset/ubbspecial,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-p5hwoend/export.nq.gz
